SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,4053 N Sheridan Rd #3,Chicago,IL,60613,230000,1,1.0,CHI - Uptown,750,,1920,1,307,333,Active,October-8-2022 11:00 AM,October-8-2022 01:00 PM,https://www.redfin.com/IL/Chicago/4053-N-Sheridan-Rd-60613/unit-3/home/12704815,MRED,11639663,N,Y,41.9560699,-87.654185
MLS Listing,,Condo/Co-op,932 W George St #3,Chicago,IL,60657,469500,2,2.0,CHI - Lake View,,,1996,1,,195,Active,October-8-2022 11:00 AM,October-8-2022 01:00 PM,https://www.redfin.com/IL/Chicago/932-W-George-St-60657/unit-3/home/13362961,MRED,11646782,N,Y,41.934697,-87.6528898
MLS Listing,,Single Family Residential,3638 N Oconto Ave,Chicago,IL,60634,410000,3,2.0,CHI - Dunning,1624,,1946,1,252,,Active,,,https://www.redfin.com/IL/Chicago/3638-N-Oconto-Ave-60634/home/13543603,MRED,11640609,N,Y,41.9464027,-87.8085479
MLS Listing,,Single Family Residential,4047 N Drake Ave,Chicago,IL,60618,459999,4,1.0,CHI - Irving Park,1304,,1904,1,353,,Active,October-8-2022 12:00 PM,October-8-2022 02:00 PM,https://www.redfin.com/IL/Chicago/4047-N-Drake-Ave-60618/home/13482886,MRED,11642231,N,Y,41.9552302,-87.7163447
MLS Listing,,Single Family Residential,8813 S Paulina St,Chicago,IL,60620,274900,5,3.0,CHI - Auburn Gresham,2400,3123,1959,1,115,,Active,,,https://www.redfin.com/IL/Chicago/8813-S-Paulina-St-60620/home/13102143,MRED,11645670,N,Y,41.7334888,-87.6651448
MLS Listing,,Single Family Residential,5004 N Tripp Ave,Chicago,IL,60630,369999,3,1.5,CHI - Albany Park,1392,,1927,1,266,,Active,October-15-2022 12:00 PM,October-15-2022 02:00 PM,https://www.redfin.com/IL/Chicago/5004-N-Tripp-Ave-60630/home/13495548,MRED,11638337,N,Y,41.9720332,-87.734595
MLS Listing,,Condo/Co-op,1616 W Montrose Ave Unit 2G,Chicago,IL,60613,370000,2,2.0,CHI - Uptown,,,2000,1,,362,Active,October-8-2022 11:00 AM,October-8-2022 01:00 PM,https://www.redfin.com/IL/Chicago/1616-W-Montrose-Ave-60613/unit-2G/home/12700268,MRED,11646057,N,Y,41.9617248,-87.6698944
MLS Listing,,Condo/Co-op,1138 W Pratt Blvd Unit 2S,Chicago,IL,60626,274900,2,2.0,CHI - Rogers Park,1000,,1914,1,275,356,Active,October-8-2022 11:00 AM,October-8-2022 01:00 PM,https://www.redfin.com/IL/Chicago/1138-W-Pratt-Blvd-60626/unit-2S/home/26803218,MRED,11645858,N,Y,42.006091,-87.660203
MLS Listing,,Condo/Co-op,655 W Irving Park Rd #5313,Chicago,IL,60613,212000,1,1.0,Park Place Tower,762,,1973,1,278,813,Active,,,https://www.redfin.com/IL/Chicago/655-W-Irving-Park-Rd-60613/unit-5313/home/12688974,MRED,11645806,N,Y,41.9544485,-87.6469986
MLS Listing,,Condo/Co-op,2612 N Whipple St #3,Chicago,IL,60647,325000,2,2.0,CHI - Logan Square,,,1904,1,,332,Active,October-8-2022 11:00 AM,October-8-2022 01:00 PM,https://www.redfin.com/IL/Chicago/2612-N-Whipple-St-60647/unit-3/home/26806376,MRED,11642461,N,Y,41.9290757,-87.7038007
MLS Listing,,Condo/Co-op,3836 W Lexington St #1,Chicago,IL,60624,100000,4,1.0,CHI - West Garfield Park,1200,,1904,1,83,,Active,,,https://www.redfin.com/IL/Chicago/3836-W-Lexington-St-60624/unit-1/home/13256848,MRED,11645555,N,Y,41.8719439,-87.7218811
MLS Listing,,Condo/Co-op,1622 N Mozart St Unit 1N,Chicago,IL,60647,465000,3,3.0,CHI - West Town,2200,,2003,1,211,232,Active,October-8-2022 11:00 AM,October-8-2022 01:00 PM,https://www.redfin.com/IL/Chicago/1622-N-Mozart-St-60647/unit-1N/home/12602442,MRED,11640177,N,Y,41.9109693,-87.6983077
MLS Listing,,Condo/Co-op,1542 E 67th Pl Unit 1E,Chicago,IL,60637,230000,3,2.0,CHI - South Shore,1700,,1911,2,135,200,Active,,,https://www.redfin.com/IL/Chicago/1542-E-67th-Pl-60637/unit-1E/home/21792834,MRED,11645239,N,Y,41.7726389,-87.5870334
MLS Listing,,Multi-Family (2-4 Unit),5929 S Paulina St,Chicago,IL,60636,179000,6,2.0,CHI - West Englewood,,3049,1910,2,,,Active,,,https://www.redfin.com/IL/Chicago/5929-S-Paulina-St-60636/home/13937774,MRED,11644818,N,Y,41.7858544,-87.6664932
MLS Listing,,Single Family Residential,1700 W 91st Pl,Chicago,IL,60620,260000,3,3.0,CHI - Washington Heights,2200,6250,1924,2,118,,Active,October-8-2022 11:00 AM,October-8-2022 01:00 PM,https://www.redfin.com/IL/Chicago/1700-W-91st-Pl-60620/home/13099144,MRED,11644773,N,Y,41.7277033,-87.6654915
MLS Listing,,Multi-Family (2-4 Unit),6625 N California Ave,Chicago,IL,60645,525000,6,4.0,CHI - West Ridge,,,1958,2,,,Active,,,https://www.redfin.com/IL/Chicago/6625-N-California-Ave-60645/home/13582438,MRED,11640667,N,Y,42.0019766,-87.6994412
MLS Listing,,Condo/Co-op,1601 S State St Unit 3E,Chicago,IL,60616,384900,3,2.0,CHI - Near South Side,1650,,2004,2,233,670,Active,,,https://www.redfin.com/IL/Chicago/1601-S-State-St-60616/unit-3E/home/179110292,MRED,11644652,N,Y,41.8599299,-87.6268884
MLS Listing,,Condo/Co-op,100 E 14th St #1807,Chicago,IL,60605,399000,2,2.0,CHI - Near South Side,1248,,2008,3,320,610,Active,October-8-2022 12:00 PM,October-8-2022 02:00 PM,https://www.redfin.com/IL/Chicago/100-E-14th-St-60605/unit-1807/home/39570460,MRED,11644076,N,Y,41.8645195,-87.6238055
MLS Listing,,Condo/Co-op,2214 N Campbell Ave Unit 1B,Chicago,IL,60647,379999,3,3.0,CHI - Logan Square,1600,,1894,3,237,286,Active,,,https://www.redfin.com/IL/Chicago/2214-N-Campbell-Ave-60647/unit-1B/home/18936313,MRED,11643850,N,Y,41.9221112,-87.6896587
MLS Listing,,Single Family Residential,8500 S Keeler Ave,Chicago,IL,60652,320000,3,1.5,CHI - Ashburn,1222,5148,1968,3,262,,Active,,,https://www.redfin.com/IL/Chicago/8500-S-Keeler-Ave-60652/home/13967353,MRED,11643825,N,Y,41.7382956,-87.7267083
MLS Listing,,Condo/Co-op,1440 S Michigan Ave #514,Chicago,IL,60605,345000,2,2.0,CHI - Near South Side,1100,,2000,3,314,478,Active,October-8-2022 11:00 AM,October-8-2022 01:00 PM,https://www.redfin.com/IL/Chicago/1440-S-Michigan-Ave-60605/unit-514/home/12733007,MRED,11643799,N,Y,41.863073831,-87.62441374
MLS Listing,,Multi-Family (2-4 Unit),1936 W Belle Plaine Ave,Chicago,IL,60613,979900,6,3.0,CHI - North Center,,,1898,6,,,Active,,,https://www.redfin.com/IL/Chicago/1936-W-Belle-Plaine-Ave-60613/home/13389613,MRED,11640604,N,Y,41.9561936,-87.677857
MLS Listing,,Single Family Residential,419 E 42nd St,Chicago,IL,60653,455000,8,3.5,CHI - Grand Boulevard,3900,4922,1893,6,117,,Active,October-8-2022 02:00 PM,October-8-2022 04:00 PM,https://www.redfin.com/IL/Chicago/419-E-42nd-St-60653/home/13960954,MRED,11638571,N,Y,41.8182449,-87.6158032
MLS Listing,,Condo/Co-op,1841 S Calumet Ave #1511,Chicago,IL,60616,345000,2,2.0,CHI - Near South Side,1080,,2004,6,319,644,Active,,,https://www.redfin.com/IL/Chicago/1841-S-Calumet-Ave-60616/unit-1511/home/18937852,MRED,11634799,N,Y,41.8573213,-87.6189079
MLS Listing,,Condo/Co-op,1110 N Lake Shore Dr Unit 4N,Chicago,IL,60611,485000,3,2.5,CHI - Near North Side,2122,,1969,6,229,2540,Active,,,https://www.redfin.com/IL/Chicago/1110-N-Lake-Shore-Dr-60611/unit-4N/home/14122746,MRED,11641991,N,Y,41.902836,-87.625043
MLS Listing,,Townhouse,3657 S Normal Ave Unit E,Chicago,IL,60609,470000,3,2.5,CHI - Bridgeport,1640,,1997,6,287,,Active,,,https://www.redfin.com/IL/Chicago/3657-S-Normal-Ave-60609/unit-E/home/14072408,MRED,11641978,N,Y,41.8273796,-87.6385494
MLS Listing,,Single Family Residential,6437 S Troy St,Chicago,IL,60629,280000,5,2.5,CHI - Chicago Lawn,1150,3136,1919,6,243,,Active,,,https://www.redfin.com/IL/Chicago/6437-S-Troy-St-60629/home/13988041,MRED,11641977,N,Y,41.7760724,-87.701577
MLS Listing,,Condo/Co-op,1143 S Plymouth Ct #604,Chicago,IL,60605,289900,2,2.0,Dearborn Park,1250,,1979,7,232,553,Active,,,https://www.redfin.com/IL/Chicago/1143-S-Plymouth-Ct-60605/unit-604/home/14091229,MRED,11639645,N,Y,41.8688062,-87.6282799
MLS Listing,,Condo/Co-op,1914 N Sheffield Ave Unit 2F,Chicago,IL,60614,415000,2,1.0,CHI - Lincoln Park,,,1889,7,,232,Active,,,https://www.redfin.com/IL/Chicago/1914-N-Sheffield-Ave-60614/unit-2F/home/13352007,MRED,11641451,N,Y,41.916541,-87.653664
MLS Listing,,Condo/Co-op,6250 N Francisco Ave Unit GBE,Chicago,IL,60659,139000,2,1.0,CHI - West Ridge,,,1950,7,,262,Active,,,https://www.redfin.com/IL/Chicago/6250-N-Francisco-Ave-60659/unit-GBE/home/181753220,MRED,11628403,N,Y,41.9956195,-87.7023048
MLS Listing,,Condo/Co-op,2753 N Hampden Ct Unit 2B,Chicago,IL,60614,1895000,4,4.5,CHI - Lincoln Park,2902,,2019,7,653,650,Active,October-8-2022 12:00 PM,October-8-2022 02:00 PM,https://www.redfin.com/IL/Chicago/2753-N-Hampden-Ct-60614/unit-2B/home/144232690,MRED,11641379,N,Y,41.9322901,-87.6420418
MLS Listing,,Condo/Co-op,2004 W Erie St Unit 1W,Chicago,IL,60612,765000,4,3.0,CHI - West Town,,,2013,7,,300,Active,,,https://www.redfin.com/IL/Chicago/2004-W-Erie-St-60612/unit-1W/home/113044196,MRED,11610855,N,Y,41.8932873,-87.6772969
MLS Listing,,Condo/Co-op,2700 N Hampden Ct Unit 18C,Chicago,IL,60614,305000,2,2.0,CHI - Lincoln Park,1200,,1968,7,254,916,Active,,,https://www.redfin.com/IL/Chicago/2700-N-Hampden-Ct-60614/unit-18C/home/13368686,MRED,11641053,N,Y,41.9308327,-87.6419459
MLS Listing,,Condo/Co-op,1505 N Fairfield Ave Unit 3N,Chicago,IL,60622,534900,2,2.0,CHI - West Town,,,2017,7,,155,Active,,,https://www.redfin.com/IL/Chicago/1505-N-Fairfield-Ave-60622/unit-3N/home/112688535,MRED,11641050,N,Y,41.908571,-87.695354
MLS Listing,,Condo/Co-op,2529 N Halsted St Unit 2S,Chicago,IL,60614,565000,2,2.0,Lillview Condominiums,1800,,1997,8,314,270,Active,,,https://www.redfin.com/IL/Chicago/2529-N-Halsted-St-60614/unit-2S/home/12804448,MRED,11640346,N,Y,41.9281067,-87.6485351
MLS Listing,,Condo/Co-op,1464 S Michigan Ave #505,Chicago,IL,60605,295000,2,1.0,Marquee,900,,2008,8,328,537,Active,,,https://www.redfin.com/IL/Chicago/1464-S-Michigan-Ave-60605/unit-505/home/39570938,MRED,11640320,N,Y,41.8622613,-87.624234
MLS Listing,,Condo/Co-op,3151 N Lincoln Ave #208,Chicago,IL,60657,279500,1,1.0,CHI - Lake View,720,,1934,8,388,393,Active,,,https://www.redfin.com/IL/Chicago/3151-N-Lincoln-Ave-60657/unit-208/home/13365646,MRED,11636687,N,Y,41.939122,-87.6677022
MLS Listing,,Townhouse,2344 W George St,Chicago,IL,60618,400000,2,1.5,Riverwalk,1630,,2000,9,245,383,Active,October-8-2022 12:00 PM,October-8-2022 02:00 PM,https://www.redfin.com/IL/Chicago/2344-W-George-St-60618/home/12698311,MRED,11634977,N,Y,41.933943284,-87.68724584
MLS Listing,,Single Family Residential,3626 S Giles Ave,Chicago,IL,60653,530000,4,3.5,CHI - Douglas,1878,3362,2002,9,282,,Active,,,https://www.redfin.com/IL/Chicago/3626-S-Giles-Ave-60653/home/12733527,MRED,11639092,N,Y,41.8284225,-87.6195539
MLS Listing,,Condo/Co-op,125 E 13th St #604,Chicago,IL,60605,440000,2,2.0,Museum Park Lofts,1300,,2002,9,338,506,Active,,,https://www.redfin.com/IL/Chicago/125-E-13th-St-60605/unit-604/home/12645866,MRED,11639050,N,Y,41.8655862,-87.62288
MLS Listing,,Multi-Family (2-4 Unit),6549 S Saint Lawrence Ave,Chicago,IL,60637,449000,7,3.0,CHI - Woodlawn,,2613,1895,10,,,Active,,,https://www.redfin.com/IL/Chicago/6549-S-Saint-Lawrence-Ave-60637/home/181310601,MRED,11638447,N,Y,41.775257,-87.6103936
MLS Listing,,Condo/Co-op,3600 N Lake Shore Dr #2625,Chicago,IL,60613,274900,1,1.0,CHI - Lake View,,,1960,10,,764,Active,,,https://www.redfin.com/IL/Chicago/3600-N-Lake-Shore-Dr-60613/unit-2625/home/13376979,MRED,11636779,N,Y,41.9489369,-87.6441842
MLS Listing,,Condo/Co-op,643 W Barry Ave Unit 1D,Chicago,IL,60657,235000,1,1.0,CHI - Lake View,700,,1970,10,336,197,Active,,,https://www.redfin.com/IL/Chicago/643-W-Barry-Ave-60657/unit-1D/home/12683066,MRED,11638265,N,Y,41.9375782,-87.6459541
MLS Listing,,Single Family Residential,2610 N Kimball Ave,Chicago,IL,60647,1050000,5,3.5,CHI - Logan Square,2984,3920,2007,13,352,,Active,,,https://www.redfin.com/IL/CHICAGO/2610-N-KIMBALL-AVE-60647/home/18946402,MRED,11637137,N,Y,41.928782,-87.712619
MLS Listing,,Condo/Co-op,4852 N Paulina St Unit 1E,Chicago,IL,60640,165000,1,1.0,CHI - Uptown,784,,1969,13,210,257,Active,,,https://www.redfin.com/IL/Chicago/4852-N-Paulina-St-60640/unit-1E/home/13402797,MRED,11633779,N,Y,41.9704285,-87.6715481
MLS Listing,,Single Family Residential,2015 Newton Ave,Park Ridge,IL,60068,395000,3,2.0,Park Ridge,960,5850,1944,13,411,,Active,,,https://www.redfin.com/IL/Park-Ridge/2015-Newton-Ave-60068/home/13565798,MRED,11636567,N,Y,41.9856771,-87.8240227
MLS Listing,,Condo/Co-op,625 W Jackson Blvd #707,Chicago,IL,60661,390000,2,1.0,Capitol Hill Lofts,1050,,1918,14,371,555,Active,,,https://www.redfin.com/IL/Chicago/625-W-Jackson-Blvd-60661/unit-707/home/12713702,MRED,11632980,N,Y,41.8778774,-87.6435687
MLS Listing,,Condo/Co-op,600 N Fairbanks Ct #2006,Chicago,IL,60611,379900,1,1.0,CHI - Near North Side,821,,2008,14,463,483,Active,,,https://www.redfin.com/IL/Chicago/600-N-Fairbanks-Ct-60611/unit-2006/home/39557848,MRED,11633983,N,Y,41.8927936,-87.6206433
MLS Listing,,Condo/Co-op,100 E Huron St #1703,Chicago,IL,60611,550000,2,2.0,CHI - Near North Side,1481,,1989,14,371,1193,Active,,,https://www.redfin.com/IL/Chicago/100-E-Huron-St-60611/unit-1703/home/14099785,MRED,11635603,N,Y,41.895034,-87.6250256
MLS Listing,,Townhouse,26 S Aberdeen St #8,Chicago,IL,60607,775000,3,2.0,CHI - Near West Side,2000,,2007,14,388,275,Active,October-8-2022 11:00 AM,October-8-2022 01:00 PM,https://www.redfin.com/IL/Chicago/26-S-Aberdeen-St-60607/unit-8/home/12632522,MRED,11632635,N,Y,41.8808922,-87.6549666
MLS Listing,,Condo/Co-op,4867 N Rockwell St Unit G,Chicago,IL,60625,269900,2,2.0,CHI - Lincoln Square,,,1924,15,,169,Active,,,https://www.redfin.com/IL/Chicago/4867-N-Rockwell-St-60625/unit-G/home/39944206,MRED,11631733,N,Y,41.9706095,-87.6936159
MLS Listing,,Condo/Co-op,1455 N Sandburg Ter Unit 1009B,Chicago,IL,60610,349900,2,1.0,CHI - Near North Side,,,1964,15,,671,Active,,,https://www.redfin.com/IL/Chicago/1455-N-Sandburg-Ter-60610/unit-1009B/home/14116073,MRED,11635048,N,Y,41.9088719,-87.6320457
MLS Listing,,Condo/Co-op,2341 W Roscoe St Unit 1W,Chicago,IL,60618,899000,4,2.5,CHI - North Center,,,2018,15,,307,Active,,,https://www.redfin.com/IL/Chicago/2341-W-Roscoe-St-60618/unit-1W/home/175638037,MRED,11634849,N,Y,41.94290002,-87.68744241
MLS Listing,,Townhouse,648 W Oak St,Chicago,IL,60610,779900,3,2.5,CHI - Near North Side,,,2007,15,,254,Active,,,https://www.redfin.com/IL/Chicago/648-W-Oak-St-60610/home/12621241,MRED,11628992,N,Y,41.8999386,-87.6447673
MLS Listing,,Condo/Co-op,660 W Wayman St Unit 507B,Chicago,IL,60661,319000,1,2.0,Trio,800,,2008,15,399,519,Active,,,https://www.redfin.com/IL/Chicago/660-W-Wayman-St-60661/unit-507B/home/21801927,MRED,11634629,N,Y,41.887518,-87.645063
MLS Listing,,Condo/Co-op,1000 W Leland Ave Unit 6F,Chicago,IL,60640,249900,2,1.0,CHI - Uptown,,,2004,16,,376,Active,,,https://www.redfin.com/IL/Chicago/1000-W-Leland-Ave-60640/unit-6F/home/12571464,MRED,11634053,N,Y,41.9673599,-87.6549621
MLS Listing,,Single Family Residential,4852 N Mont Clare Ave,Chicago,IL,60656,359900,4,2.5,CHI - Norwood Park,1250,,1958,16,288,,Active,,,https://www.redfin.com/IL/Chicago/4852-N-Mont-Clare-Ave-60656/home/13504887,MRED,11629963,N,Y,41.969838,-87.8051296
MLS Listing,,Single Family Residential,19 E 102nd Pl,Chicago,IL,60628,150000,3,2.0,CHI - Roseland,1633,4687,1905,16,92,,Active,,,https://www.redfin.com/IL/Chicago/19-E-102nd-Pl-60628/home/13088235,MRED,11634032,N,Y,41.7078927,-87.6227451
MLS Listing,,Condo/Co-op,1069 W Foster Ave Unit 2D,Chicago,IL,60640,274900,2,2.0,CHI - Uptown,1099,,1917,16,250,235,Active,October-8-2022 02:00 PM,October-8-2022 04:00 PM,https://www.redfin.com/IL/Chicago/1069-W-Foster-Ave-60640/unit-2D/home/181855921,MRED,11633695,N,Y,41.9762601,-87.6574334
MLS Listing,,Condo/Co-op,1307 S Wabash Ave #408,Chicago,IL,60605,225000,1,1.0,CHI - Near South Side,,,1929,17,,418,Active,,,https://www.redfin.com/IL/Chicago/1307-S-Wabash-Ave-60605/unit-408/home/12725359,MRED,11633228,N,Y,41.8654407,-87.6253097
MLS Listing,,Single Family Residential,557 E 92nd Pl,Chicago,IL,60619,250000,4,2.0,CHI - Chatham,2254,3123,1910,17,111,,Active,,,https://www.redfin.com/IL/Chicago/557-E-92nd-Pl-60619/home/13109058,MRED,11632923,N,Y,41.7262784,-87.6095757
MLS Listing,,Condo/Co-op,1720 S Michigan Ave #1204,Chicago,IL,60616,225900,1,1.0,CHI - Near South Side,700,,2005,17,323,354,Active,,,https://www.redfin.com/IL/Chicago/1720-S-Michigan-Ave-60616/unit-1204/home/39558369,MRED,11632639,N,Y,41.8586026,-87.6246153
MLS Listing,,Townhouse,1618 N Larrabee St,Chicago,IL,60614,885000,4,2.5,CHI - Lincoln Park,,,1987,20,,,Active,,,https://www.redfin.com/IL/Chicago/1618-N-Larrabee-St-60614/home/13346471,MRED,11626092,N,Y,41.9118205,-87.6436813
MLS Listing,,Condo/Co-op,1935 S Archer Ave #518,Chicago,IL,60616,240000,1,1.0,CHI - Near South Side,900,,2006,20,267,443,Active,,,https://www.redfin.com/IL/Chicago/1935-S-Archer-Ave-60616/unit-518/home/18931231,MRED,11617212,N,Y,41.8558278,-87.6283056
MLS Listing,,Condo/Co-op,100 E 14th St #2301,Chicago,IL,60605,710000,3,2.0,CHI - Near South Side,1695,,2006,20,419,1060,Active,,,https://www.redfin.com/IL/Chicago/100-E-14th-St-60605/unit-2301/home/39570245,MRED,11631110,N,Y,41.8645195,-87.6238055
MLS Listing,,Condo/Co-op,839 W Ainslie St Unit 3W,Chicago,IL,60640,370000,2,2.0,CHI - Uptown,1700,,1911,20,218,272,Active,,,https://www.redfin.com/IL/Chicago/839-W-Ainslie-St-60640/unit-3W/home/180592376,MRED,11627450,N,Y,41.971386,-87.65176
MLS Listing,,Single Family Residential,3427 W 61st St,Chicago,IL,60629,374900,5,2.0,CHI - Chicago Lawn,,6015,1880,20,,,Active,,,https://www.redfin.com/IL/Chicago/3427-W-61st-St-60629/home/14007551,MRED,11631397,N,Y,41.7823033,-87.7092179
MLS Listing,,Condo/Co-op,40 E 9th St #718,Chicago,IL,60605,210000,1,1.0,CHI - Loop,910,,1998,20,231,642,Active,October-8-2022 11:00 AM,October-8-2022 01:00 PM,https://www.redfin.com/IL/Chicago/40-E-9th-St-60605/unit-718/home/12633439,MRED,11628221,N,Y,41.8707384,-87.6263891
MLS Listing,,Multi-Family (2-4 Unit),7847 S Saint Lawrence Ave,Chicago,IL,60619,250000,4,2.0,CHI - Greater Grand Crossing,,,1915,20,,,Active,,,https://www.redfin.com/IL/Chicago/7847-S-St-Lawrence-Ave-60619/home/13917649,MRED,11631184,N,Y,41.7516483,-87.6098109
MLS Listing,,Condo/Co-op,3660 N Lake Shore Dr #410,Chicago,IL,60613,199900,1,1.0,CHI - Lake View,,,1987,20,,379,Active,,,https://www.redfin.com/IL/Chicago/3660-N-Lake-Shore-Dr-60613/unit-410/home/12741996,MRED,11625722,N,Y,41.949859,-87.6457899
MLS Listing,,Condo/Co-op,4216 S Ellis Ave Unit 3S,Chicago,IL,60653,579999,4,4.0,CHI - Oakland,3500,,2016,20,166,320,Active,,,https://www.redfin.com/IL/Chicago/4216-S-Ellis-Ave-60653/unit-3S/home/144510582,MRED,11631038,N,Y,41.8174267,-87.6022424
MLS Listing,,Condo/Co-op,400 E Randolph St #3628,Chicago,IL,60601,345000,1,1.0,CHI - Loop,860,,1963,21,401,680,Active,,,https://www.redfin.com/IL/Chicago/400-E-Randolph-St-60601/unit-3628/home/14094290,MRED,11630701,N,Y,41.885003,-87.6168638
MLS Listing,,Single Family Residential,4015 N Drake Ave,Chicago,IL,60618,795000,4,3.5,CHI - Irving Park,3576,3036,2013,21,222,,Active,,,https://www.redfin.com/IL/Chicago/4015-N-Drake-Ave-60618/home/13482788,MRED,11630015,N,Y,41.9543587,-87.7163092
MLS Listing,,Condo/Co-op,5559 S Blackstone Ave #2,Chicago,IL,60637,369000,3,2.0,CHI - Hyde Park,1600,,1906,22,231,656,Active,,,https://www.redfin.com/IL/Chicago/5559-S-Blackstone-Ave-60637/unit-2/home/12565773,MRED,11629364,N,Y,41.7935128,-87.5898569
MLS Listing,,Condo/Co-op,4631 S Ellis Ave Unit 3R,Chicago,IL,60653,399900,3,2.5,Ellington Court,2103,,,22,190,202,Active,,,https://www.redfin.com/IL/Chicago/4631-S-Ellis-Ave-60653/unit-3R/home/12733143,MRED,11629270,N,Y,41.8104971,-87.6012893
MLS Listing,,Condo/Co-op,3543 W Belmont Ave #2,Chicago,IL,60618,450000,3,2.5,CHI - Avondale,1650,,2011,22,273,265,Active,,,https://www.redfin.com/IL/Chicago/3543-W-Belmont-Ave-60618/unit-2/home/52639035,MRED,11629241,N,Y,41.93897,-87.71661
MLS Listing,,Condo/Co-op,1345 W Huron St #3,Chicago,IL,60642,569000,2,2.0,CHI - West Town,,,2016,22,,176,Active,,,https://www.redfin.com/IL/Chicago/1345-W-Huron-St-60642/unit-3/home/161065785,MRED,11628984,N,Y,41.8941037,-87.6613045
MLS Listing,,Condo/Co-op,6444 S Woodlawn Ave Unit 4N,Chicago,IL,60637,375000,3,2.0,CHI - Woodlawn,2000,,2018,22,188,202,Active,,,https://www.redfin.com/IL/Chicago/6444-S-Woodlawn-Ave-60637/unit-4N/home/179303424,MRED,11624927,N,Y,41.7773644,-87.5963797
MLS Listing,,Single Family Residential,6124 S Mcvicker Ave,Chicago,IL,60638,424000,5,3.0,CHI - Clearing,2099,3746,2010,23,202,,Active,October-9-2022 10:00 AM,October-9-2022 12:00 PM,https://www.redfin.com/IL/Chicago/6124-S-McVicker-Ave-60638/home/12817862,MRED,11626120,N,Y,41.7807017,-87.7731624
MLS Listing,,Multi-Family (2-4 Unit),8109 S Drexel Ave,Chicago,IL,60619,375000,9,3.0,CHI - Chatham,,3920,1925,23,,,Active,,,https://www.redfin.com/IL/Chicago/8109-S-Drexel-Ave-60619/home/13224206,MRED,11614791,N,Y,41.7472806,-87.6023406
MLS Listing,,Single Family Residential,6438 N Harlem Ave,Chicago,IL,60631,289999,3,2.0,CHI - Edison Park,1000,4133,1959,23,290,,Active,,,https://www.redfin.com/IL/Chicago/6438-N-Harlem-Ave-60631/home/13635879,MRED,11627997,N,Y,41.9980854,-87.8070884
MLS Listing,,Condo/Co-op,5553 N Clark St #301,Chicago,IL,60640,579900,3,2.0,CHI - Edgewater,,,2019,24,,226,Active,,,https://www.redfin.com/IL/Chicago/5553-N-Clark-St-60640/unit-301/home/168661028,MRED,11627486,N,Y,41.983298,-87.668362
MLS Listing,,Multi-Family (2-4 Unit),1637 N Richmond St,Chicago,IL,60647,540000,6,3.0,CHI - West Town,,,1880,27,,,Active,,,https://www.redfin.com/IL/Chicago/1637-N-Richmond-St-60647/home/181656397,MRED,11477424,N,Y,41.9113231,-87.7000371
MLS Listing,,Condo/Co-op,1122 W Catalpa Ave #515,Chicago,IL,60640,249900,2,1.5,Catalpa Gardens,1054,,2007,28,237,636,Active,,,https://www.redfin.com/IL/Chicago/1122-W-Catalpa-Ave-60640/unit-515/home/16882786,MRED,11625022,N,Y,41.9824219,-87.6590772
MLS Listing,,Condo/Co-op,749 S Claremont Ave #2,Chicago,IL,60612,245000,2,2.0,CHI - Near West Side,1200,,1997,28,204,150,Active,,,https://www.redfin.com/IL/Chicago/749-S-Claremont-Ave-60612/unit-2/home/12763934,MRED,11624808,N,Y,41.8717244,-87.6846611
MLS Listing,,Condo/Co-op,2324 N Lincoln Park Unit 4C,Chicago,IL,60614,160000,0,1.0,CHI - Lincoln Park,,,1927,28,,229,Active,,,https://www.redfin.com/IL/Chicago/2324-N-Lincoln-Park-W-60614/unit-4C/home/18957567,MRED,11624799,N,Y,41.924602,-87.6372469
MLS Listing,,Condo/Co-op,565 W Quincy St #1009,Chicago,IL,60661,465000,2,2.0,CHI - Near West Side,,,2009,28,,730,Active,,,https://www.redfin.com/IL/Chicago/565-W-Quincy-St-60661/unit-1009/home/171322145,MRED,11622139,N,Y,41.8784947,-87.6422376
MLS Listing,,Single Family Residential,6737 N Hermitage Ave,Chicago,IL,60626,749900,4,4.0,CHI - Rogers Park,3038,,1929,28,247,,Active,October-8-2022 12:00 PM,October-8-2022 02:00 PM,https://www.redfin.com/IL/Chicago/6737-N-Hermitage-Ave-60626/home/13570273,MRED,11624698,N,Y,42.0045994,-87.6737077
MLS Listing,,Condo/Co-op,235 W Van Buren St #4001,Chicago,IL,60607,465500,2,2.0,CHI - Loop,1352,,2010,28,344,562,Active,,,https://www.redfin.com/IL/Chicago/235-W-Van-Buren-St-60607/unit-4001/home/113098051,MRED,11618511,N,Y,41.8765303,-87.6347529
