SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,218 S Hamilton Ave Unit 2S,Chicago,IL,60612,399900,2,2.0,CHI - Near West Side,1400,,2003,1,286,156,Active,,,https://www.redfin.com/IL/Chicago/218-S-Hamilton-Ave-60612/unit-2S/home/12678981,MRED,11646423,N,Y,41.8781168,-87.6805989
MLS Listing,,Townhouse,1318 W Touhy Ave Unit E,Chicago,IL,60626,294900,3,1.5,CHI - Rogers Park,1300,,1966,1,227,,Active,,,https://www.redfin.com/IL/Chicago/1318-W-Touhy-Ave-60626/unit-E/home/13575052,MRED,11646415,N,Y,42.0131092,-87.6645115
MLS Listing,,Condo/Co-op,1147 W Ohio St #304,Chicago,IL,60647,699900,3,2.0,CHI - West Town,2382,,1920,1,294,554,Active,October-8-2022 01:00 AM,October-8-2022 02:30 PM,https://www.redfin.com/IL/Chicago/1147-W-Ohio-St-60642/unit-304/home/14102367,MRED,11646420,N,Y,41.8919125,-87.6566928
MLS Listing,,Single Family Residential,2674 N Burling St,Chicago,IL,60614,3000000,6,4.5,CHI - Lincoln Park,4500,,2022,1,667,,Active,,,https://www.redfin.com/IL/Chicago/2674-N-Burling-St-60614/home/13368661,MRED,11646411,N,Y,41.9312602,-87.6480258
MLS Listing,,Condo/Co-op,5130 N Albany Ave #203,Chicago,IL,60625,129900,1,1.0,CHI - North Park,800,,1976,1,162,247,Active,,,https://www.redfin.com/IL/Chicago/5130-N-Albany-Ave-60625/unit-203/home/12808244,MRED,11646412,N,Y,41.9747877,-87.7065142
MLS Listing,,Single Family Residential,10331 S Sangamon St,Chicago,IL,60643,224999,4,2.0,CHI - Washington Heights,1500,3628,1922,1,150,,Active,October-8-2022 12:00 PM,October-8-2022 03:00 PM,https://www.redfin.com/IL/Chicago/10331-S-Sangamon-St-60643/home/13075735,MRED,11646388,N,Y,41.7059624,-87.6461854
MLS Listing,,Single Family Residential,2824 N Kostner Ave,Chicago,IL,60641,335000,3,2.0,CHI - Hermosa,1476,,1927,1,227,,Active,,,https://www.redfin.com/IL/Chicago/2824-N-Kostner-Ave-60641/home/13444294,MRED,11646393,N,Y,41.932439,-87.7371411
MLS Listing,,Condo/Co-op,512 N Mcclurg Ct #4905,Chicago,IL,60611,369000,1,1.0,Residences at River East,965,,2001,1,382,560,Active,October-9-2022 12:00 PM,October-9-2022 02:00 PM,https://www.redfin.com/IL/Chicago/512-N-McClurg-Ct-60611/unit-4905/home/12694951,MRED,11641397,N,Y,41.8915234,-87.6178142
MLS Listing,,Single Family Residential,10816 S Calumet Ave,Chicago,IL,60628,254500,3,2.0,CHI - Roseland,2000,3750,1944,1,127,,Active,,,https://www.redfin.com/IL/Chicago/10816-S-Calumet-Ave-60628/home/13080411,MRED,11646380,N,Y,41.6976191,-87.6149547
MLS Listing,,Condo/Co-op,841 W Grace St Unit 2S,Chicago,IL,60613,764900,3,2.0,CHI - Lake View,2000,,2014,1,382,255,Active,,,https://www.redfin.com/IL/Chicago/841-W-Grace-St-60613/unit-2S/home/113097425,MRED,11609932,N,Y,41.9508331,-87.651215
